model,trial,position,variant,seconds,checksum,validation
ultraface-rfb-320,11,0,base,0.040325042,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,11,1,locality,0.027341,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,12,0,base,0.040368167,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,12,1,locality,0.027247542,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,13,0,locality,0.027730958,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,13,1,base,0.044021375,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,14,0,locality,0.027399292,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,14,1,base,0.040563084,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,15,0,base,0.040376875,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,15,1,locality,0.027966875,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,16,0,base,0.040293708,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,16,1,locality,0.027470792,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,17,0,locality,0.031022333,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,17,1,base,0.040114875,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,18,0,locality,0.027532333,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,18,1,base,0.040353958,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,19,0,base,0.040423834,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
ultraface-rfb-320,19,1,locality,0.027499416,0d13113b2e4b9ad9,"max_abs_error,2.458692e-07,failed,0,threads,1,pass"
mobilenetv2-7,0,0,base,0.212545041,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,0,1,locality,0.074774542,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,1,0,locality,0.07369825,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,1,1,base,0.21169225,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,2,0,locality,0.07451275,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,2,1,base,0.210937833,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,3,0,base,0.215038209,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,3,1,locality,0.074022,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
mobilenetv2-7,4,0,base,0.211120667,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
